num,fips,date_range_start,weighted_average
1,06001,2019-12-21,13363.431356128263
2,06001,2019-12-28,13318.422265487256
3,06001,2020-01-04,11577.9794171324
4,06001,2020-01-11,11612.555538533725
5,06001,2020-01-18,11712.125967915672
6,06001,2020-01-25,11328.655337016939
7,06001,2020-02-01,10762.733729297497
8,06001,2020-02-08,11028.331141394434
9,06001,2020-02-15,12400.950121104755
10,06001,2020-02-22,11297.35236607093
11,06001,2020-02-29,10750.966934618955
12,06001,2020-03-07,9889.180113665714
13,06001,2020-03-14,8005.292090363809
14,06001,2020-03-21,7408.065604809091
15,06001,2020-03-28,6755.395441033306
16,06001,2020-04-04,5932.070547052289
17,06001,2020-04-11,6273.273131993375
18,06001,2020-04-18,6640.169480062907
19,06001,2020-04-25,6765.945759792693
20,06001,2020-05-02,5922.182675929363
21,06001,2020-05-09,6422.766628117274
22,06001,2020-05-16,6583.551559294797
23,06001,2020-05-23,7501.921103969497
24,06001,2020-05-30,7407.177300291431
25,06001,2020-06-06,7886.2564960933405
26,06001,2020-06-13,8222.920016361279
27,06001,2020-06-20,8588.966195636933
28,06001,2020-06-27,8741.306069721752
29,06001,2020-07-04,8904.723460249328
30,06001,2020-07-11,8511.613499955773
31,06001,2020-07-18,8587.278241064409
32,06001,2020-07-25,8708.262114417856
33,06001,2020-08-01,8752.091587368806
34,06001,2020-08-08,8746.46227421724
35,06001,2020-08-15,8743.491386143802
36,06001,2020-08-22,8349.220947584467
37,06001,2020-08-29,8485.72668177113
38,06001,2020-09-05,8622.03831486597
39,06001,2020-09-12,7946.681760418946
40,06001,2020-09-19,8398.408509140643
41,06001,2020-09-26,8631.775930703021
42,06001,2020-10-03,7983.971374512566
43,06001,2020-10-10,8356.485246316784
44,06001,2020-10-17,8408.048304023745
45,06001,2020-10-24,8292.708166541714
46,06001,2020-10-31,8239.335688107194
47,06001,2020-11-08,7953.493749972546
1,06003,2019-12-21,15683.377851826288
2,06003,2019-12-28,19583.751552794096
3,06003,2020-01-04,22453.395172980356
4,06003,2020-01-11,25088.651980568196
5,06003,2020-01-18,24736.765438240884
6,06003,2020-01-25,23403.59640114412
7,06003,2020-02-01,18091.03517096469
8,06003,2020-02-08,23528.788903546607
9,06003,2020-02-15,20702.673519990287
10,06003,2020-02-22,20900.301923125648
11,06003,2020-02-29,20630.680378564557
12,06003,2020-03-07,19687.049625158674
13,06003,2020-03-14,13710.19143446281
14,06003,2020-03-21,13142.726475946602
15,06003,2020-03-28,9895.151423222933
16,06003,2020-04-04,10705.506836020277
17,06003,2020-04-11,12129.077772568773
18,06003,2020-04-18,11923.842476062358
19,06003,2020-04-25,14587.821449403806
20,06003,2020-05-02,14579.735820755019
21,06003,2020-05-09,15077.878361156056
22,06003,2020-05-16,18012.642379494195
23,06003,2020-05-23,15649.468409037929
24,06003,2020-05-30,19180.829536418823
